date;Semua Provinsi;Aceh;Kota Lhokseumawe
01/01/2020;-;-;-
02/ 01/ 2020;Rp11,800;Rp10,300;Rp10,000
03/ 01/ 2020;Rp11,850;Rp10,300;Rp10,000
06/ 01/ 2020;Rp11,800;Rp10,350;Rp10,000
07/ 01/ 2020;Rp11,800;Rp10,350;Rp10,000
08/ 01/ 2020;Rp11,800;Rp10,350;Rp10,000
09/ 01/ 2020;Rp11,800;Rp10,350;Rp10,000
10/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
13/ 01/ 2020;Rp11,800;Rp10,350;Rp10,000
14/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
15/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
16/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
17/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
20/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
21/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
22/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
23/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
24/ 01/ 2020;Rp11,850;Rp10,350;Rp10,000
27/ 01/ 2020;Rp11,850;Rp10,350;Rp10,050
28/ 01/ 2020;Rp11,850;Rp10,350;Rp10,050
29/ 01/ 2020;Rp11,850;Rp10,350;Rp10,050
30/ 01/ 2020;Rp11,850;Rp10,350;Rp10,050
31/ 01/ 2020;Rp11,850;Rp10,350;Rp10,050
03/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
04/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
05/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
06/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
07/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
10/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
11/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
12/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
13/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
14/ 02/ 2020;Rp11,900;Rp10,350;Rp10,050
17/ 02/ 2020;Rp11,900;Rp10,350;Rp10,050
18/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
19/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
20/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
21/ 02/ 2020;Rp11,850;Rp10,350;Rp10,050
24/ 02/ 2020;Rp11,850;Rp10,150;Rp9,400
